text,label
"Mi sento piuttosto triste e dispiaciuto per me stesso, ma mi riprenderò presto",sadness
"mi sento come se stessi ancora guardando una tela bianca, pezzi di carta bianchi",sadness
mi sento un servitore fedele,optimism
mi sento solo irritabile e triste,sadness
posso mangiarlo come regalo o se mi sento festoso,joy
Comincio ad apprezzare di più ciò che Dio ha fatto per me,optimism
Mi sento più fiducioso che saremo in grado di prenderci cura di questo bambino,optimism
mi sento incredibilmente fortunato solo per poter parlare con lei,joy
mi sento ogni giorno meno entusiasta dell'esercito,sadness
mi sento sporco e mi vergogno di dirlo,sadness
mi sento stronzo ma non ancora sconfitto,anger
stavo sbavando sul tavolino di mamma guardando fuori dalla finestra e mi sentivo molto felice,joy
"Mi sono svegliato spesso, mi sono alzato e avevo la sensazione di essere vomitato e intontito",sadness
mi sentivo sentimentale,sadness
sono uscito di lì un'ora e quindici minuti dopo sentendomi come se fossi stato picchiato con un bastone e poi messo sulla griglia e fatto stretching,anger
non smetto mai di provare gratitudine nel confrontarmi con gli altri mi ritengo fortunato perché non ho incontrato pirati spietati e non ho dovuto assistere al massacro altrui,optimism
"Non mi sono sentito maltrattato e, onestamente, questo ha reso la mia giornata un po' migliore",optimism
"So come ci si sente, come se fosse stressato guardandola torvamente mentre lei spremeva altro sapone sulla spugna",disgust
mi è piaciuto anche il fatto che si potesse davvero percepire la disperazione in queste sequenze e mi è piaciuta soprattutto l'emozione tra il cavaliere e lo scudiero dato che stanno insieme in modo simile a Batman e Robin da molto tempo ormai,joy
"Ho pranzato con un vecchio amico ed è stato bello, ma in generale non mi sento energico",joy
So solo che all'inizio mi sentirò timido a riguardo,fear
"sento che provo a dirmi che sono ingrata, dimmi che fondamentalmente sono la peggiore sorella figlia del mondo",anger
sento che è qualcosa che non sarà mai realmente risolto,sadness
mi sento come se tutti i miei sforzi fossero vani e una perdita di tempo,sadness
mi sento assolutamente stupido per aver permesso a me stesso di credere davvero che questo potrebbe essere per noi il mese per il quale abbiamo pregato così tanto,sadness
ho aspettato un'eternità per scaricarlo e ora ricordo un giorno in cui dovevo aspettare per andare a Walmart per comprare un intero cd solo per ascoltare una canzone e mi sentivo un po' stupido per la mia impazienza,anger
non so se qualcuno sarà mai in grado di provare quello che provo io o almeno di relazionarsi quando tutto è perduto ti ritrovi a mancare e a desiderarlo,sadness
mi sento come se fossi l'amata che si prepara al matrimonio,joy
Mi sentirei di aver perso una ricchezza di tesori se non leggessi,sadness
Ho finito il film e mi dispiace un po' di non essere riuscito a vederlo sul grande schermo,sadness
"sento che mi prendo cura del mio corpo non solo nel tentativo di avere la taglia giusta, ma per sentirmi bene e avere una vita piena",optimism
"Mi sento così danneggiato che voglio solo che tu ti prenda cura di me, continua",sadness
In passato ho scoperto che quando scrivo quotidianamente sul blog ho più cose da dire e faccio emergere i miei sentimenti e le mie emozioni in modi più creativi,optimism
