ID,Interlocutore,Frase,Sentiment,Dominant_Sentiment,Emotion,Dominant_Emotion
0,p,"fatti il conto quando l’ho visto. la seconda se lo vedevi solo, ti tiravi la lingua natale. mi fece così impressione. “proprio tu me lo hai detto”. io ci sobbalzai qundo quello me lo disse. “ proprio tu me lo hai detto ”. va bene gli dissi proprio tu. embè?   disse “ ma hai capito che sparano. ” biagio ma che cazzo stai dicendo? . disse. “ ma hai capito che quelli volevano uccidere a mio figlio ? ”. biagio. figurati. “ volevano uccidere a mio figlio”. si vaglielo a mettere in testa che non è vero. vai. “ non è questa la malavita. non è questa. no è quella che pensi tu”. biagio io non ho capito quello che penso io? io non penso proprio niente. io non penso la malavita che pensi tu. pero non posso.   in testa a me, però non posso condividere per esempio che voi ammazzate un bambino. io non lo penso.      ","Negative: 0.0039636%,
Neutral: 0.1131107%,
Positive: 0.8829257%",POSITIVE,"'anger', (0.4199128),
 'fear', (0.5565576),
 'joy', (0.0002059),
 'sadness', (0.0233236)",fear
0,n,"mannaggi la madonna, ma fa paura veramente. quello che tiene in testa quello. ","Negative: 0.2971339%,
Neutral: 0.2096282%,
Positive: 0.4932379%",POSITIVE,"'anger', (0.0009818),
 'fear', (0.9971640),
 'joy', (0.0009431),
 'sadness', (0.0009111)",fear
0,n,ne tengo due. ,"Negative: 0.0053386%,
Neutral: 0.3296122%,
Positive: 0.6650492%",POSITIVE,"'anger', (0.0001920),
 'fear', (0.0002307),
 'joy', (0.9876819),
 'sadness', (0.0118954)",joy
1,n,io non l’ho visto ancora. già se lo guardo ho paura. ,"Negative: 0.5942798%,
Neutral: 0.3867131%,
Positive: 0.0190072%",NEGATIVE,"'anger', (0.0007635),
 'fear', (0.9970735),
 'joy', (0.0012417),
 'sadness', (0.0009213)",fear
1,p,natale. tutti i capelli bianchi tieni. tutti. tutti i capelli bianchi. li porta così. poi all’improvviso ti guarda. no. cosa c’è? “no no. niente”. va bene. cioè ti guarda. ma non ti sta guardando a te. cioè sta pensando ad un altro. natale io gliel’ho detto. ma quando fece quella reazione. no. quello secondo me davanti agli occhi vide i graziano. dissi. mannaggia la madonna ma cosa ha avuto questo. natale ho provato vergogna. cioè ho provato quel senso di vergogna quando lui parlò. quando lui disse  “ se non eri tu ti sparavo proprio”. natale guarda che era. ,"Negative: 0.9730305%,
Neutral: 0.0265120%,
Positive: 0.0004575%",NEGATIVE,"'anger', (0.9967270),
 'fear', (0.0021836),
 'joy', (0.0001584),
 'sadness', (0.0009310)",anger
2,d,là fece lo sbaglio grosso. perchè noi stavamo là che aspettavamo. ,"Negative: 0.6926271%,
Neutral: 0.3061731%,
Positive: 0.0011999%",NEGATIVE,"'anger', (0.0157342),
 'fear', (0.0018389),
 'joy', (0.0003665),
 'sadness', (0.9820603)",sadness
2,a,(si avvicina all’auto e dice -). ma i guai che ha fatto il cugino. sapere niente. mi deve dare 40 milioni. ,"Negative: 0.8881193%,
Neutral: 0.1086841%,
Positive: 0.0031966%",NEGATIVE,"'anger', (0.9989114),
 'fear', (0.0003192),
 'joy', (0.0000766),
 'sadness', (0.0006927)",anger
2,a,"il supermercato, non ho avuto nemmeno una lira. se me li volete dare me li date altrimenti. ","Negative: 0.9605388%,
Neutral: 0.0372555%,
Positive: 0.0022057%",NEGATIVE,"'anger', (0.9993235),
 'fear', (0.0002037),
 'joy', (0.0001115),
 'sadness', (0.0003614)",anger
2,p,"va bene, tu ti sei venduto il supermercato. quello si è venduto qualche altra cosa. io cosa ti ho venduto il cazzo angioletto? allora mi devo mettere qua davanti. ","Negative: 0.9545559%,
Neutral: 0.0422737%,
Positive: 0.0031703%",NEGATIVE,"'anger', (0.9992529),
 'fear', (0.0002507),
 'joy', (0.0003256),
 'sadness', (0.0001708)",anger
2,a,e va bene scadano a maggio. ,"Negative: 0.0035949%,
Neutral: 0.4066029%,
Positive: 0.5898022%",POSITIVE,"'anger', (0.0010940),
 'fear', (0.0863626),
 'joy', (0.0603203),
 'sadness', (0.8522230)",sadness
