text,label,sentiment,dominant_sentiment
"Mi sento piuttosto triste e dispiaciuto per me stesso, ma mi riprenderò presto",sadness,"Negative: 0.9975320%,
Neutral: 0.0021068%,
Positive: 0.0003612%",NEGATIVE
"mi sento come se stessi ancora guardando una tela bianca, pezzi di carta bianchi",sadness,"Negative: 0.0171385%,
Neutral: 0.9249377%,
Positive: 0.0579239%",NEUTRAL
mi sento un servitore fedele,optimism,"Negative: 0.0002902%,
Neutral: 0.0158912%,
Positive: 0.9838187%",POSITIVE
mi sento solo irritabile e triste,sadness,"Negative: 0.9979095%,
Neutral: 0.0018535%,
Positive: 0.0002370%",NEGATIVE
posso mangiarlo come regalo o se mi sento festoso,joy,"Negative: 0.0017421%,
Neutral: 0.2416266%,
Positive: 0.7566314%",POSITIVE
Comincio ad apprezzare di più ciò che Dio ha fatto per me,optimism,"Negative: 0.0001334%,
Neutral: 0.0019640%,
Positive: 0.9979026%",POSITIVE
Mi sento più fiducioso che saremo in grado di prenderci cura di questo bambino,optimism,"Negative: 0.0001850%,
Neutral: 0.0140457%,
Positive: 0.9857695%",POSITIVE
mi sento incredibilmente fortunato solo per poter parlare con lei,joy,"Negative: 0.0001979%,
Neutral: 0.0022933%,
Positive: 0.9975088%",POSITIVE
mi sento ogni giorno meno entusiasta dell'esercito,sadness,"Negative: 0.9679210%,
Neutral: 0.0147924%,
Positive: 0.0172867%",NEGATIVE
mi sento sporco e mi vergogno di dirlo,sadness,"Negative: 0.9972985%,
Neutral: 0.0024570%,
Positive: 0.0002444%",NEGATIVE
mi sento stronzo ma non ancora sconfitto,anger,"Negative: 0.9688367%,
Neutral: 0.0297945%,
Positive: 0.0013688%",NEGATIVE
stavo sbavando sul tavolino di mamma guardando fuori dalla finestra e mi sentivo molto felice,joy,"Negative: 0.0001672%,
Neutral: 0.0015142%,
Positive: 0.9983187%",POSITIVE
"Mi sono svegliato spesso, mi sono alzato e avevo la sensazione di essere vomitato e intontito",sadness,"Negative: 0.9802126%,
Neutral: 0.0194742%,
Positive: 0.0003132%",NEGATIVE
mi sentivo sentimentale,sadness,"Negative: 0.9884510%,
Neutral: 0.0102083%,
Positive: 0.0013408%",NEGATIVE
sono uscito di lì un'ora e quindici minuti dopo sentendomi come se fossi stato picchiato con un bastone e poi messo sulla griglia e fatto stretching,anger,"Negative: 0.0217928%,
Neutral: 0.9753459%,
Positive: 0.0028613%",NEUTRAL
non smetto mai di provare gratitudine nel confrontarmi con gli altri mi ritengo fortunato perché non ho incontrato pirati spietati e non ho dovuto assistere al massacro altrui,optimism,"Negative: 0.0012379%,
Neutral: 0.0014613%,
Positive: 0.9973009%",POSITIVE
"Non mi sono sentito maltrattato e, onestamente, questo ha reso la mia giornata un po' migliore",optimism,"Negative: 0.0006020%,
Neutral: 0.0009348%,
Positive: 0.9984632%",POSITIVE
"So come ci si sente, come se fosse stressato guardandola torvamente mentre lei spremeva altro sapone sulla spugna",disgust,"Negative: 0.0142998%,
Neutral: 0.9767399%,
Positive: 0.0089603%",NEUTRAL
mi è piaciuto anche il fatto che si potesse davvero percepire la disperazione in queste sequenze e mi è piaciuta soprattutto l'emozione tra il cavaliere e lo scudiero dato che stanno insieme in modo simile a Batman e Robin da molto tempo ormai,joy,"Negative: 0.0003612%,
Neutral: 0.0016956%,
Positive: 0.9979432%",POSITIVE
"Ho pranzato con un vecchio amico ed è stato bello, ma in generale non mi sento energico",joy,"Negative: 0.9442273%,
Neutral: 0.0072393%,
Positive: 0.0485333%",NEGATIVE
So solo che all'inizio mi sentirò timido a riguardo,fear,"Negative: 0.2983957%,
Neutral: 0.6981466%,
Positive: 0.0034576%",NEUTRAL
"sento che provo a dirmi che sono ingrata, dimmi che fondamentalmente sono la peggiore sorella figlia del mondo",anger,"Negative: 0.9964329%,
Neutral: 0.0032816%,
Positive: 0.0002854%",NEGATIVE
sento che è qualcosa che non sarà mai realmente risolto,sadness,"Negative: 0.9822563%,
Neutral: 0.0169148%,
Positive: 0.0008289%",NEGATIVE
mi sento come se tutti i miei sforzi fossero vani e una perdita di tempo,sadness,"Negative: 0.9815255%,
Neutral: 0.0179133%,
Positive: 0.0005612%",NEGATIVE
mi sento assolutamente stupido per aver permesso a me stesso di credere davvero che questo potrebbe essere per noi il mese per il quale abbiamo pregato così tanto,sadness,"Negative: 0.9956001%,
Neutral: 0.0039308%,
Positive: 0.0004691%",NEGATIVE
ho aspettato un'eternità per scaricarlo e ora ricordo un giorno in cui dovevo aspettare per andare a Walmart per comprare un intero cd solo per ascoltare una canzone e mi sentivo un po' stupido per la mia impazienza,anger,"Negative: 0.9497075%,
Neutral: 0.0467044%,
Positive: 0.0035881%",NEGATIVE
non so se qualcuno sarà mai in grado di provare quello che provo io o almeno di relazionarsi quando tutto è perduto ti ritrovi a mancare e a desiderarlo,sadness,"Negative: 0.5488586%,
Neutral: 0.3963340%,
Positive: 0.0548074%",NEGATIVE
mi sento come se fossi l'amata che si prepara al matrimonio,joy,"Negative: 0.0001354%,
Neutral: 0.0406478%,
Positive: 0.9592168%",POSITIVE
Mi sentirei di aver perso una ricchezza di tesori se non leggessi,sadness,"Negative: 0.2473602%,
Neutral: 0.2591096%,
Positive: 0.4935302%",POSITIVE
Ho finito il film e mi dispiace un po' di non essere riuscito a vederlo sul grande schermo,sadness,"Negative: 0.9932302%,
Neutral: 0.0062234%,
Positive: 0.0005463%",NEGATIVE
"sento che mi prendo cura del mio corpo non solo nel tentativo di avere la taglia giusta, ma per sentirmi bene e avere una vita piena",optimism,"Negative: 0.0001051%,
Neutral: 0.0025584%,
Positive: 0.9973364%",POSITIVE
"Mi sento così danneggiato che voglio solo che tu ti prenda cura di me, continua",sadness,"Negative: 0.9911629%,
Neutral: 0.0071996%,
Positive: 0.0016375%",NEGATIVE
In passato ho scoperto che quando scrivo quotidianamente sul blog ho più cose da dire e faccio emergere i miei sentimenti e le mie emozioni in modi più creativi,optimism,"Negative: 0.0016668%,
Neutral: 0.2012108%,
Positive: 0.7971225%",POSITIVE
"sono andato alla fabbrica di caramelle era chiaramente una linea di produzione turistica ma non mi è sembrato spiacevole o affrettato, solo ben pianificato e professionale, una visita interessante e pittoresca",joy,"Negative: 0.0304254%,
Neutral: 0.1880344%,
Positive: 0.7815402%",POSITIVE
sento di essere così patetico e decisamente stupido da permettere alle persone di giocare con i miei sentimenti e poi lasciare che sia io a ripulire questo mucchio di tristezza dentro di me,sadness,"Negative: 0.9966460%,
Neutral: 0.0031781%,
Positive: 0.0001759%",NEGATIVE
Mi sento molto fortunato oggi che condividano un legame così stretto,joy,"Negative: 0.0001046%,
Neutral: 0.0014260%,
Positive: 0.9984694%",POSITIVE
sento costantemente questi attacchi di malcontento,sadness,"Negative: 0.9930601%,
Neutral: 0.0064101%,
Positive: 0.0005297%",NEGATIVE
Sono stato consumato dal senso di colpa e da altri sentimenti di malcontento,sadness,"Negative: 0.9850767%,
Neutral: 0.0143964%,
Positive: 0.0005269%",NEGATIVE
mi viene voglia di dare un colpo all'occhio a qualcuno e sputarci sopra una vecchia signora irritabile cerco di tirarmi su di morale,anger,"Negative: 0.5676612%,
Neutral: 0.4182702%,
Positive: 0.0140687%",NEGATIVE
mi sento davvero speciale e importante,joy,"Negative: 0.0001231%,
Neutral: 0.0014141%,
Positive: 0.9984628%",POSITIVE
metto il pollo preferibilmente con l'osso nelle cosce di pollo senza pelle perché sento che hanno più sapore in una pentola di coccio in modo che diventi tenero e si sfaldi,disgust,"Negative: 0.0100723%,
Neutral: 0.9076563%,
Positive: 0.0822714%",NEUTRAL
