tweet_text,sentiment
"@TheMoralyzer @nicos_moriello @StanisLaRochele @Vivo_e_vegeto @DiegoMontuori @sscnapoli @douglascosta Ã inutile che cerchiate di far credere che non contiamo un cazzo, perchÃ© vi mettete a cantare i cori del Napoli ÂrivisitatiÂ allo Stadium a cazzo di cane... ? Poi se vuoi negarlo fai ?",negative
"@RobMaida @OfficialASRoma @CorSport @LorePelle7 Purtroppo la fragilitÃ  dei muscoli Ã¨ sempre stato il problema di questo ragazzo , anche a #Sassuolo ha avuto molti ( troppi ) infortuni muscolari. Peccato",negative
#AtalantaJuve 2-2... non ci battete giocando 40 minuti in 11 contro 10...non ci battete con arbitraggio a senso unico..gol annullati...non ci battete con @Cristiano 60 minuti in panchina...non ci battete nemmeno se giochiamo bendati.. ?????????#FinoAllaFine #Ronaldo https://t.co/4jrspllqBF,negative
@RollingStoneita @Cristiano @juventusfc Avete la lingua sporca di merda,negative
#FranciaVsArgentina #FifaWorldCup2018 @mascherano Ã¨ un giocatore che mi Ã¨ sempre piaciuto ma che mi sembra ormai improponibile a questi livelli,negative
"@ChiaraZucchelli @Belgianfootball @OfficialRadja No perchÃ© non ascolta nessuno...preferisce fare la figuraccia in Russia anzichÃ© ammettere di sbagliare a non prenderlo. E la federazione gli ha rinnovato il contratto, stiamo nei guai!",negative
"Ã paradossale che @neymarjr protesti perchÃ© qualcuno accentua un contatto. Ridicolo! Ã senza vergogna, imbarazzante.  #brasilcostarica",negative
@Cristiano @fuck Cristiano Ronaldo fuck familia fuck sÃ©rie a the best Messi,negative
"@bonucci_leo19 In realtÃ  l'unico che ha dovuto lottare e soffrire Ã¨ stato #valeri x farvi vincere in tutti i modi!
Ma possibile che voi giocatori fate finta di nulla, e credete pure di essere forti vincendo cosÃ¬..?
Io mi vergognerei, ma c'Ã¨ chi la vergogna non la conosce evidentemente..",negative
"@realvarriale @francescoceccot @StefanoDiscreti @kkoulibaly26 @sscnapoli @Lor_Insigne Tu sei messo davvero male, manca la tenuta ""mentale"". Pensi solo alla partita della #juve con l'atletico invece di fare figure ridicole e perdere contro #Asamoah. Siete una squadretta con un allenatore incapace. Continua cosÃ¬.",negative
@sscnapoli @kkoulibaly26 @ADeLaurentiis @MrAncelotti AdL Zuzzus.......pagliaccio........vuoi fare sempre la prima donna......Soffri quanto parliamo di chi puo toglierti visibilitÃ  quale Cavani ecc ecc Sarri ecc ecc tutti ti schifano dopo qualche anno e cosi farÃ  anche Ancellotti!!,negative
A parte questo.... @Cristiano TI PREGO VIENI. SEI LÂUNICO CHE PUÃ ROMPERE LA NOSTRA MALEDIZIONE,negative
"@sharethegol @andrea_vadala @annatrieste @sscnapoli @Cristiano @mattinodinapoli Dopo 12 ore di lavoro, ogni ora dico odio la Juve, butto la munnezza Dal primo piano Ã¨ dico Juve merda e penso che in giro ci sta munnezza che apre la bocca e scrive stronzate",negative
"@kkoulibaly26 Naturalmente quelli non sono tifosi, e da Interista mi vergogno per loro, queste persone non dovrebbero mettere piede negli stadi.
Mi dispiace che a fine 2018 si debba ancora parlare di queste cose.",negative
@realvarriale @gallobelotti Ma perchÃ© non continui a guardare il tuo calcio minore invece di rompere i coglioni al mondo? Continua pure a fomentare: poi se qualcuno ti saracca di botte non venire a piagnere,negative
@Cristiano Non sembrano cosÃ¬ male le sue cene ... forse ad @Evra  non piace la f**a,negative
@GiacomoLeoni1 @Alissonbecker @OfficialASRoma @eu_difrancesco Mi sembra un pelino stantio.,negative
"@MatteDj23 @Asabob20 Abbiamo avuto 2 match point e li abbiamo fallito entrambi. Direi che la responsabilitÃ  Ã¨ la nostra. Poi tutti i discorsi legati a liste Uefa, gol di Kane al 90 etc..non li voglio sentire.",negative
@delpieroale @lukamodric10 Argentina non voleva vincere questa partita neanche mostrarsi stando una grande squadra con i tutti migliori giocatori del mondo come lo pensavamo. PerÃ² gli mancano un'allenatore di qualitÃ .,negative
@cumdivido @G_Higuain Che schifo,negative
Uno come @MauroIcardi che vince il titolo di capocannoniere e riporta la sua squadra in Champions caricando la sulle spalle non puoi non portarlo al mondiale,negative
@FBiasin Bastava che @Asabob20 non facesse il fenomeno.. #incomprensibile,negative
"@juventusfc @douglascosta @Cristiano Non bastava un gol annullato, un rigore non dato, anzi hanno raddoppiato gli episodi a ns sfavore, si vedeva proprio che non ci volevano far vincere e non solo in questa partita, ma la societÃ  e la dirigenza fa finta di niente, quanto invece dovrebbe farsi sentire e avere equitÃ !",negative
@juventusfc @Cristiano se posso dire la mia..fate schifo...comprate ronaldo e non fate presentazione allo stadium o lo fate arrivare di nascosto..bella considerazione di noi tifosi....perÃ² l'abbonamento lo avete aumentato,negative
"@MarcoReNer_azz @wandaicardi27 @MauroIcardi Marco ti riferisci a questo? "" #WandaNara: ""Dicono che sono i tifosi, i tifosi niente, i tifosi vogliono che mauro faccia gol e che non gli rompano il cazzo per ogni cosa che fa"". secondo me hai interpretato male. la sua frase dice l'esatto contrario",negative
"@realvarriale @kkoulibaly26 @sscnapoli @Lor_Insigne ?????? DC di assurdo ci sei tu e i tuoi tweet! ??? Ora Ã¨ la designazione che Ã¨ sbagliata...
Inizia ad insegnare a stare al mondo al tuo amico @ADeLaurentiis che spara cazzate e legittima atteggiamenti indegni dei suoi tesserati! #ossessionato #frustrato",negative
@mlollobrigida @PatroneLuca @lukamodric10 @Cristiano Per una volta non sono dÂaccordo con te. Il pallone dÂoro andrebbe dato  alla Â«diversitÃ Â» al Â«genioÂ»... e Modric no lo Ã¨... un gran giocatore tanto quanto inutile e finto questo premio...,negative
"@kkoulibaly26 Sei fortunato , pigli tanti soldi e i tuoi figli avranno il futuro assicurato. Stai messo molto meglio di quei Razzisti di merda, quindi fregatene e ridigli in faccia, cazzo,se sei superiore. CosÃ¬ sarebbe fuck racism",negative
@DanieleRugani @juventusfc Ieri mi sei piaciuto molto.cominci ad avere una sicurezza che prima ti mancava...avanti cosÃ¬ Ruga!!!,negative
"@Lo_statistico @SamiKhedira ma anche la @juventusfc che non lo spernacchia in qualche modo...mah... Essere ULTRAS lo capisco, ma almeno un barlume di intelligenza, di sagacia, di simpatia. Invece nulla, @realvarriale Ã¨ solo un giornalista scarso",negative
@Toro_News @SimoneZaza non Ã¨ imperdonabile ma oggettivamente sin qui Ã¨ stato inutile ed anzi stasera dannoso !!!,negative
"?? Belgio, @Fellaini sull'esclusione di @OfficialRadja : ""Non capiamo la decisione di Martinez ma va rispettata. Radja Ã¨ molto deluso"". VIDEO!
#naingollan #ASRoma #Belgium https://t.co/pxpHQ7AtyR",negative
@juventusfc @Cristiano minkia ke bbbelloooooooo..... io mi sento male....!!!!!!,negative
"@CZampa_official @OfficialASRoma @OfficialRadja Ã una vergogna!!! Andare a rafforzare le squadre che se L giocano con noi, non tanto x il Titolo quanto per lÂingresso in #UCL !!! Ora si che con @OfficialRadja lÂInter puÃ² ambire al titolo!!! Che schifo... Sempre peggio!!!",negative
@Annaasr16 @OfficialASRoma @Alissonbecker Con questi nn vinceremo mai niente...,negative
In ttt questo stanno distruggendo @arekmilik9  assurdo......??????????????????????????????,negative
"@liviovarriale @ADeLaurentiis @Cristiano @ECavaniOfficial Ma che incassi in silenzio rileggi un poÂ le cavolate che hai dato per certo i giorni scorsi. Ma come si fa a perdere credibilitÃ  cosÃ¬, mah!",negative
Voi che buttate merda su @PauDybala_JR ricordatevi che tra un anno e mezzo andranno via il 17 con Cr7 e rimarrete con le mosche in mano...,negative
"@Rafficaruso94 E Rafinha... Non riesco proprio a prendere in considerazione l'idea di non riscattarlo.
@Rafinha con lui Ã© un mercato da 10 e lode....",negative
"@realvarriale @sscnapoli @kkoulibaly26 Ma basta, basta!! Vergogna!",negative
Se ci tenete cosÃ¬ tanto a @kkoulibaly26 allora non accettate il risultato e rigiocate la partita 11 contro 11. Il resto sono chiacchiere e il casino dei tifosi razzisti non provenivano solo da 4 gatti. #InterNapoli,negative
@2010MisterChip @21LVA e a Gerard ancora niente???????? sono: delusa e incazzata te lo dico,negative
"@_ThousandN @MarioMandzukic9 Siamo in minoranza @_ThousandN. Il tifoso juventino si Ã¨ affezionato a questo sopravvalutato. Trovare qualcuno che ce lo paghi 36 milioni a luglio, coi suoi limiti, etÃ  e stipendio sarÃ  veramente difficile",negative
"Io ... tutto il giorno che mi chiedo quante ore, minuti, secondo mancano alla presentazione di @Cristiano ?????? https://t.co/b1096w0rfw",negative
@GiAdUzZoLa90 @douglascosta Fuoriclasse ero troppo felice L'anno scorso quando fu acwuistato non mi sbagliai,negative
Praticamente @Rafinha non sa piÃ¹ in che lingua dircelo che vuole l'@inter...... https://t.co/4GC5qRXJ7D,negative
"Che figuraccia di @juventusfc , manca molto per poter aspirare a vincere #UCL . @Cristiano nullo e anche gli altri sottotono. Se fossi un antijuventino godrei come un riccio.",negative
"@DiMarzio @Alissonbecker @SkySport @SkySportsNews @OfficialASRoma @LFC E sti deficienti romani continuano a parlare di scudetto.
A proposito Florenzi ancora non lo avete venduto?",negative
@realvarriale @kkoulibaly26 @sscnapoli @Lor_Insigne Siete la vergogna della civiltÃ ...peggio di colui/lei che mette le corna...negare sempre anche davanti L evidenza!!!ma cosa c avete da recriminare??nn vincerete mai nulla xche siete una lagna continua a partire dal vostro Capo...vi aggrappate agli specchi,negative
"@OfficialRadja Per me sbagli, perchÃ© non puoi rinunciare a qualcosa di cosÃ¬ importante per un uomo cosÃ¬ piccolo",negative
@sentopuzzadibru @realvarriale @kkoulibaly26 @sscnapoli @Lor_Insigne Uno assolutamente no e l'altro si poteva dare.,negative
"@MadreNapoli @realvarriale @kkoulibaly26 @sscnapoli @Lor_Insigne Imparate a perdere, state diventando una barzelletta. E la cosa divertente Ã¨ che se ne sono accorti pure gli interisti.
State raggiungendo livelli di ""vittimismo"" veramente ridicoli.",negative
Mi dispiace solo per @G_Higuain.... non merita una squadra del genere! #olimpiacosmilan #EuropaLeague,negative
@papavero_rosso @GHapix @Carloalvino @kkoulibaly26 @Lor_Insigne Continui a rimanere ignorante usi le parole a cazzo perche sei capra imbroglione ha un altro significato. Ã inutile che vai avanti lascia perdere,negative
@realvarriale @Cristiano @juventusfc Un po' mi ha deluso...speravo spendesse due parole per la bellezza del centro sportivo di Castelvolturno...,negative
"@erredantes @Cristiano E non potrebbe essere altrimenti!
Ho letto o sentito non pochi commenti del tipo ""Ã vecchio"" ""Costa troppo"" ""Meglio un giovane""...purtroppo non ho mai un lanciafiamme quando serve!",negative
"DAB, CAPELLI IMBARAZZANTI, NUMERI INUTILI: TORNA @paulpogba. ? Un calcio nel culo ai nostalgici. W IL CALCIO MODERNO E LE PARTITE A MEZZOGIORNO! https://t.co/uFBviG6pOf",negative
"Se tra un po' mi vengono a leccare il culo alcuni interisti li rompo il culo.

Multi cit @OfficialRadja PiÃ¹ fatti meno parlare, fino ad oggi ai solo dimostrato di essere un mezzo professionista ma sopratutto mezzo uomo. Grande delusione ?? https://t.co/e8xJDtHMRI",negative
@MauroIcardi Condivido il tuo pensiero.... ma non riesco a capire come mai uno sport cosÃ¬ bello debba portare alla morte!!! Eppure non Ã¨ uno sport pericoloso...,negative
"@Inter @vecino E' vero che @Vecino Ã¨ stato in campo per 90 minuti, ma sinceramente non lo si Ã¨ mai visto. Surclassato dal centrocampo francese. Solo giocate di @LTorreira34 @RodriiBentancur e @laxalt7 Anzi, da una sua palla persa Ã¨ arrivato il 2-0 della Francia. Assente ingiustificato",negative
"@acmilan @SamuCastillejo quando hai bisogno di un attaccante, vendi e presti perchÃ© non si adatta a questo allenatore, che chiaramente non ha un chiaro schema di allenamento e strategia.",negative
"@MarcelloChirico @paulpogba Sono grato a #Pogba per quello che ha dato negli anni alla #Juve ma se potessi scegliere preferirei di gran lunga #MilinkovicSavic !
Molto piÃ¹ forte di Paul, ha lo stipendio piÃ¹ basso ed Ã¨ piÃ¹ giovane
Pogba dopo che ha lasciato la Juve non Ã¨ migliorato, anzi...

NO AL RITORNO!",negative
"@Stefandevrij Non vi fidate.
Ã peggio di Giuda",negative
@DiegoPicaro @G_Higuain @NicolaHiguain Un coglione. Sei solo un coglione. Un enorme coglione.,negative
@kkoulibaly26 @NapoliOutsider Qui non c'entra il colore della maglia. Bisogna sempre essere orgogliosi di ciÃ² che si Ã¨. A vergognarsi devono essere quegli imbecilli che fanno cori razzisti (a qualsiasi tifoseria appartengano). Daje che sei un campione. Ã stato un gesto di stizza. In bocca al lupo. Da un ??,negative
@Frankysorre @douglascosta Francesco stai morendo..uomo di merda,negative
