text,label
Mi sento piuttosto marcio quindi non sono molto ambizioso in questo momento,sadness
sto aggiornando il mio blog perché mi sento di merda,anger
Non la faccio mai separare da me perché non voglio mai che si senta come se mi vergognassi con lei,sadness
sono partito con il mio mazzo di tulipani rossi e gialli sotto il braccio sentendomi leggermente più ottimista di quando sono arrivato,joy
mi sentivo un po' vanitoso quando ho fatto questo,anticipation
non posso entrare in un negozio dove non mi sento a disagio,sadness
provavo rabbia alla fine di una telefonata,anger
spiego perché mi sono aggrappata a una relazione con un ragazzo che per molti versi era immaturo e poco impegnato nonostante l'eccitazione che avrei dovuto provare per essere stato accettato al programma di master presso l'università della Virginia,sadness
mi piace provare la stessa sensazione di fiato di un lettore ansioso di vedere cosa succederà dopo,joy
"scherzo, mi sento stanchissima e in fase pre-mestruale, cosa che probabilmente sono, ma è passata solo una settimana e sono in forma come un tricheco in vacanza per l'estate",sadness
non mi sento particolarmente agitato,fear
mi sento meravigliosamente emozionato sapendo che queste donne di cui conoscevo solo una manciata stavano sostenendo me e mio padre durante il nostro viaggio,joy
"presto attenzione, si approfondisce nella sensazione di essere invasi e impotenti",sadness
mi sento estremamente a mio agio con il gruppo di persone per cui non ho nemmeno bisogno di nascondermi,optimism
mi trovo nella strana posizione di sentirmi solidale,optimism
"Avevo il cuore spezzato quanto, sono sicuro, lo fosse Katniss",sadness
mi sento un po' tranquillo oggi,joy
sento che il mio unico ruolo adesso sarebbe quello di strapparti le vele con il mio pessimismo e il mio scontento,sadness
"mi sento semplicemente perché litighiamo, ci arrabbiamo a vicenda e vuoi fare pubblicità e far sapere al mondo del nostro litigio",anger
mi sembra che il rosso e il viola siano così ricchi e quasi perfetti,joy
"Non sono sicuro che il senso di perdita scomparirà mai, ma potrebbe trasformarsi in un dolce sentimento di nostalgia per ciò che ho condiviso in questa vita con mio padre e per la fortuna di aver avuto un padre per anni",sadness
mi sembra di aver conosciuto molti di voi attraverso commenti ed e-mail e per questo sono riconoscente e felice che facciate parte di questo piccolo spazio,joy
"esamino i miei post degli ultimi anni e mi compiaccio solo dei vaghi frammenti di alcuni di essi, sento solo che piccoli frammenti di essi catturano cosa vuol dire essere me o qualcuno come me a Dublino nel XXI secolo",joy
"te lo dico anche nella speranza che chiunque si senta ancora stigmatizzato o si vergogni dei propri problemi di salute mentale lasci andare lo stigma, lasci andare la vergogna",optimism
Non mi sento in colpa perché non potrò cucinare per lui,sadness
Odio quando ho paura senza alcun motivo,fear
"mi sento indignato, si vede ovunque",anger
