text,label,sentiment,dominant_sentiment
Mi sento piuttosto marcio quindi non sono molto ambizioso in questo momento,sadness,"Negative: 0.9959269%,
Neutral: 0.0034445%,
Positive: 0.0006286%",NEGATIVE
sto aggiornando il mio blog perché mi sento di merda,anger,"Negative: 0.8280560%,
Neutral: 0.1320200%,
Positive: 0.0399240%",NEGATIVE
Non la faccio mai separare da me perché non voglio mai che si senta come se mi vergognassi con lei,sadness,"Negative: 0.7167217%,
Neutral: 0.2622610%,
Positive: 0.0210173%",NEGATIVE
sono partito con il mio mazzo di tulipani rossi e gialli sotto il braccio sentendomi leggermente più ottimista di quando sono arrivato,joy,"Negative: 0.0561050%,
Neutral: 0.7043422%,
Positive: 0.2395528%",NEUTRAL
mi sentivo un po' vanitoso quando ho fatto questo,anticipation,"Negative: 0.9949719%,
Neutral: 0.0045541%,
Positive: 0.0004741%",NEGATIVE
non posso entrare in un negozio dove non mi sento a disagio,sadness,"Negative: 0.2912872%,
Neutral: 0.4918933%,
Positive: 0.2168195%",NEUTRAL
provavo rabbia alla fine di una telefonata,anger,"Negative: 0.9753009%,
Neutral: 0.0245278%,
Positive: 0.0001713%",NEGATIVE
spiego perché mi sono aggrappata a una relazione con un ragazzo che per molti versi era immaturo e poco impegnato nonostante l'eccitazione che avrei dovuto provare per essere stato accettato al programma di master presso l'università della Virginia,sadness,"Negative: 0.0741275%,
Neutral: 0.9238497%,
Positive: 0.0020228%",NEUTRAL
mi piace provare la stessa sensazione di fiato di un lettore ansioso di vedere cosa succederà dopo,joy,"Negative: 0.0003948%,
Neutral: 0.0074901%,
Positive: 0.9921151%",POSITIVE
"scherzo, mi sento stanchissima e in fase pre-mestruale, cosa che probabilmente sono, ma è passata solo una settimana e sono in forma come un tricheco in vacanza per l'estate",sadness,"Negative: 0.0094080%,
Neutral: 0.2215057%,
Positive: 0.7690862%",POSITIVE
non mi sento particolarmente agitato,fear,"Negative: 0.0247099%,
Neutral: 0.4625468%,
Positive: 0.5127432%",POSITIVE
mi sento meravigliosamente emozionato sapendo che queste donne di cui conoscevo solo una manciata stavano sostenendo me e mio padre durante il nostro viaggio,joy,"Negative: 0.0000862%,
Neutral: 0.0018053%,
Positive: 0.9981085%",POSITIVE
"presto attenzione, si approfondisce nella sensazione di essere invasi e impotenti",sadness,"Negative: 0.3894671%,
Neutral: 0.6011975%,
Positive: 0.0093354%",NEUTRAL
mi sento estremamente a mio agio con il gruppo di persone per cui non ho nemmeno bisogno di nascondermi,optimism,"Negative: 0.0002416%,
Neutral: 0.0011254%,
Positive: 0.9986330%",POSITIVE
mi trovo nella strana posizione di sentirmi solidale,optimism,"Negative: 0.0048390%,
Neutral: 0.2315349%,
Positive: 0.7636262%",POSITIVE
"Avevo il cuore spezzato quanto, sono sicuro, lo fosse Katniss",sadness,"Negative: 0.9090149%,
Neutral: 0.0824961%,
Positive: 0.0084889%",NEGATIVE
mi sento un po' tranquillo oggi,joy,"Negative: 0.0001049%,
Neutral: 0.0031420%,
Positive: 0.9967530%",POSITIVE
sento che il mio unico ruolo adesso sarebbe quello di strapparti le vele con il mio pessimismo e il mio scontento,sadness,"Negative: 0.9718447%,
Neutral: 0.0248914%,
Positive: 0.0032638%",NEGATIVE
"mi sento semplicemente perché litighiamo, ci arrabbiamo a vicenda e vuoi fare pubblicità e far sapere al mondo del nostro litigio",anger,"Negative: 0.8834603%,
Neutral: 0.1155143%,
Positive: 0.0010255%",NEGATIVE
mi sembra che il rosso e il viola siano così ricchi e quasi perfetti,joy,"Negative: 0.0001234%,
Neutral: 0.0020003%,
Positive: 0.9978763%",POSITIVE
"Non sono sicuro che il senso di perdita scomparirà mai, ma potrebbe trasformarsi in un dolce sentimento di nostalgia per ciò che ho condiviso in questa vita con mio padre e per la fortuna di aver avuto un padre per anni",sadness,"Negative: 0.0001799%,
Neutral: 0.0026678%,
Positive: 0.9971522%",POSITIVE
mi sembra di aver conosciuto molti di voi attraverso commenti ed e-mail e per questo sono riconoscente e felice che facciate parte di questo piccolo spazio,joy,"Negative: 0.0001347%,
Neutral: 0.0039178%,
Positive: 0.9959475%",POSITIVE
"esamino i miei post degli ultimi anni e mi compiaccio solo dei vaghi frammenti di alcuni di essi, sento solo che piccoli frammenti di essi catturano cosa vuol dire essere me o qualcuno come me a Dublino nel XXI secolo",joy,"Negative: 0.0533855%,
Neutral: 0.8762401%,
Positive: 0.0703744%",NEUTRAL
"te lo dico anche nella speranza che chiunque si senta ancora stigmatizzato o si vergogni dei propri problemi di salute mentale lasci andare lo stigma, lasci andare la vergogna",optimism,"Negative: 0.1576008%,
Neutral: 0.8150529%,
Positive: 0.0273464%",NEUTRAL
Non mi sento in colpa perché non potrò cucinare per lui,sadness,"Negative: 0.0818010%,
Neutral: 0.8993962%,
Positive: 0.0188028%",NEUTRAL
Odio quando ho paura senza alcun motivo,fear,"Negative: 0.9866775%,
Neutral: 0.0126084%,
Positive: 0.0007141%",NEGATIVE
"mi sento indignato, si vede ovunque",anger,"Negative: 0.9341173%,
Neutral: 0.0645274%,
Positive: 0.0013553%",NEGATIVE
ho rubato un libro a uno dei miei autori preferiti in assoluto e ora mi sento una persona schifosa,anger,"Negative: 0.9966339%,
Neutral: 0.0030647%,
Positive: 0.0003013%",NEGATIVE
"a volte mi sento insicuro, ma chi non lo fa",sadness,"Negative: 0.2255973%,
Neutral: 0.7727188%,
Positive: 0.0016839%",NEUTRAL
"consiglio vivamente di visitarlo di mercoledì se puoi perché è meno affollato, quindi puoi fare più domande agli agricoltori senza sentirti scortese per aver tenuto la fila",optimism,"Negative: 0.0141364%,
Neutral: 0.1820861%,
Positive: 0.8037775%",POSITIVE
